[13:28:17] START arequipa section list crawl (main cards ONLY, tuned extract, filtered)
[13:28:17] base=https://www.locanto.com.pe/arequipa/Hombre-busca-mujer/20701
[13:28:17] LIST p1: https://www.locanto.com.pe/arequipa/Hombre-busca-mujer/20701/1/?query=ayuda+economica
[13:28:38]   main IDs: 48
[13:28:55]   + https://www.locanto.com.pe/arequipa/ID_8201848965/Brindo-ayuda-economi
[13:29:08]   + https://www.locanto.com.pe/arequipa/ID_8979141745/Ayuda-economica-a-em
[13:29:24]   + https://www.locanto.com.pe/arequipa/ID_6693289171/Ayuda-economica-a-se
[13:29:40]   + https://www.locanto.com.pe/arequipa/ID_6929201794/Ayuda-economica-para
[13:30:02]   + https://www.locanto.com.pe/arequipa/ID_7729193401/EN-BUSCA-DE-CHICA-MA
[13:30:52]   + https://www.locanto.com.pe/arequipa/ID_6616142059/Ofrezco-Ayuda-econom
[13:31:20]   + https://www.locanto.com.pe/arequipa/ID_8091641002/AYUDA-ECONOMICA-PARA
[13:32:12]   + https://www.locanto.com.pe/arequipa/ID_7640333019/NECESITAS-DINERO-YO-
[13:32:46]   + https://www.locanto.com.pe/arequipa/ID_7359930714/Busco-mujer-de-18-a-
[13:33:17]   + https://www.locanto.com.pe/arequipa/ID_8315032392/AYUDA-ECONOMICA-A-SE
[13:33:58]   + https://www.locanto.com.pe/arequipa/ID_7822579409/Ayuda-economica-rapi
[13:34:51]   + https://www.locanto.com.pe/arequipa/ID_7822871291/Ayuda-economica-seno
[13:35:16]   + https://www.locanto.com.pe/arequipa/ID_4792475959/Se-da-ayuda-economic
[13:35:56]   + https://www.locanto.com.pe/arequipa/ID_4768695685/Se-brinda-ayuda-econ
[13:36:33]   + https://www.locanto.com.pe/arequipa/ID_7820634786/HOMBRE-MADURO-BRINDA
[13:37:22]   + https://www.locanto.com.pe/arequipa/ID_7820635774/Sexo-por-placer-oh-a
[13:38:15]   + https://www.locanto.com.pe/arequipa/ID_8959690166/Para-toda-srta-que-n
[13:38:59]   + https://www.locanto.com.pe/arequipa/ID_8717463794/Ayuda-economica-para
[13:39:51]   + https://www.locanto.com.pe/arequipa/ID_7585565970/Ayuda-Economica-a-Se
[13:40:42]   + https://www.locanto.com.pe/arequipa/ID_8186995159/SE-DA-AYUDA-ECONOMIC
[13:41:56]   + https://www.locanto.com.pe/arequipa/ID_7724014583/BRINDO-AYUDA-ECONOMI
[13:42:44]   + https://www.locanto.com.pe/arequipa/ID_7314618121/SE-BRINDA-INGRESOS-A
[13:43:40]   + https://www.locanto.com.pe/arequipa/ID_7127067579/Ayuda-Economica-a-Se
[13:44:41]   + https://www.locanto.com.pe/arequipa/ID_8476106505/Brindo-ayuda-economi
[13:45:22]   + https://www.locanto.com.pe/arequipa/ID_7310935649/Dinero-extra-ayuda-e
[13:46:15]   + https://www.locanto.com.pe/arequipa/ID_8067078664/AYUDA-ECONOMICA-A-SE
[13:47:06]   + https://www.locanto.com.pe/arequipa/ID_8477396908/Ayuda-economica-conf
[13:47:58]   + https://www.locanto.com.pe/arequipa/ID_7944585381/Ayuda-economica-a-ca
[13:48:52]   + https://www.locanto.com.pe/arequipa/ID_7235716985/Ayuda-economica-a-ch
[13:50:09]   + https://www.locanto.com.pe/arequipa/ID_5067527819/Te-doy-ayuda-economi
[13:51:25]   + https://www.locanto.com.pe/arequipa/ID_6759637886/Brindo-ayuda-economi
[13:52:33]   + https://www.locanto.com.pe/arequipa/ID_8937038000/Ayuda-Apoyo-economic
[13:53:30]   + https://www.locanto.com.pe/arequipa/ID_8471560370/Ayuda-economica-conf
[13:54:22]   + https://www.locanto.com.pe/arequipa/ID_8928124964/BRINDO-AYUDA-ECONOMI
[13:55:11]   + https://www.locanto.com.pe/arequipa/ID_8688228601/Busco-mujer-para-enc
[13:56:04]   + https://www.locanto.com.pe/arequipa/ID_6523111078/Ayuda-economica-a-sr
[13:56:55]   + https://www.locanto.com.pe/arequipa/ID_8688887961/Se-brinda-ayuda-econ
[13:57:49]   + https://www.locanto.com.pe/arequipa/ID_8457077166/Ayuda-economica-para
[13:58:20]   + https://www.locanto.com.pe/arequipa/ID_8293876299/Brindo-Ayuda-economi
[13:58:58]   + https://www.locanto.com.pe/arequipa/ID_7490975527/Deseas-ayuda-economi
[13:59:52]   + https://www.locanto.com.pe/arequipa/ID_7173962518/Ayuda-economica-a-se
[14:00:42]   + https://www.locanto.com.pe/arequipa/ID_8182921113/Ayuda-economica-para
[14:01:33]   + https://www.locanto.com.pe/arequipa/ID_5433585654/Doy-ayuda-economica-
[14:02:26]   + https://www.locanto.com.pe/arequipa/ID_5380697221/Ayuda-economica-a-da
[14:03:08]   + https://www.locanto.com.pe/arequipa/ID_8453551968/Ayuda-economica-a-se
[14:19:16]   + https://www.locanto.com.pe/arequipa/ID_7712489081/Se-brinda-ayuda-econ
[14:19:17] LIST p2: https://www.locanto.com.pe/arequipa/Hombre-busca-mujer/20701/2/?query=ayuda+economica
[14:22:11]   main IDs: 47
[14:24:09]   + https://www.locanto.com.pe/arequipa/ID_8729567946/AE-Arequipa-Ayuda-ec
[14:25:37]   + https://www.locanto.com.pe/arequipa/ID_8449141021/Brindo-ayuda-economi
[14:42:07]   + https://www.locanto.com.pe/arequipa/ID_7117282134/Ayuda-Economica-con-
[14:56:02]   + https://www.locanto.com.pe/arequipa/ID_6462435071/Ayuda-Economica-A-Se
[14:56:54]   + https://www.locanto.com.pe/arequipa/ID_7221975971/Doy-ayuda-economica-
[14:57:30]   + https://www.locanto.com.pe/arequipa/ID_8677139716/Brindo-ayuda-economi
[14:58:28]   + https://www.locanto.com.pe/arequipa/ID_7081437967/Se-brinda-Ayuda-econ
[14:58:59]   + https://www.locanto.com.pe/arequipa/ID_8207384485/Brindo-ayuda-economi
[14:59:56]   + https://www.locanto.com.pe/arequipa/ID_8690406326/Doy-ayuda-economica-
[15:00:46]   + https://www.locanto.com.pe/arequipa/ID_7920244657/Me-gustaria-conocer-
[15:01:34]   + https://www.locanto.com.pe/arequipa/ID_8906592957/Ayuda-economica-para
[15:02:32]   + https://www.locanto.com.pe/arequipa/ID_8901751242/Ayuda-Economica-a-se
[15:03:21]   + https://www.locanto.com.pe/arequipa/ID_7014763314/Ofrezco-ayuda-econom
[15:03:52]   + https://www.locanto.com.pe/arequipa/ID_6148841184/Doy-ayuda-economica-
[15:04:44]   + https://www.locanto.com.pe/arequipa/ID_8157926321/Ayuda-economica-APOY
[15:05:10]   + https://www.locanto.com.pe/arequipa/ID_6920636503/Ayuda-economica-a-ca
[15:06:00]   + https://www.locanto.com.pe/arequipa/ID_7724694627/Brindo-Ayuda-Economi
[15:06:52]   + https://www.locanto.com.pe/arequipa/ID_7573115291/Ayuda-Economica-a-Se
[15:07:29]   + https://www.locanto.com.pe/arequipa/ID_7889425913/Ayuda-Economica-para
[15:08:19]   + https://www.locanto.com.pe/arequipa/ID_8148131788/Ayuda-economica-muje
[15:09:11]   + https://www.locanto.com.pe/arequipa/ID_7887683174/Ayuda-economica-areq
[15:10:05]   + https://www.locanto.com.pe/arequipa/ID_8640560273/Ayuda-economica-para
[15:11:00]   + https://www.locanto.com.pe/arequipa/ID_6651255723/Brindo-ayuda-economi
[15:11:46]   + https://www.locanto.com.pe/arequipa/ID_7076889215/AYUDA-ECONOMICA-RAPI
[15:12:24]   + https://www.locanto.com.pe/arequipa/ID_7826531575/Ayuda-Economica-a-Mu
[15:13:16]   + https://www.locanto.com.pe/arequipa/ID_7447153874/Ayuda-economica-a-jo
[15:13:49]   + https://www.locanto.com.pe/arequipa/ID_8265294412/Doy-ayuda-economica-
[15:14:34]   + https://www.locanto.com.pe/arequipa/ID_7083611828/Ayuda-economica-a-se
[15:15:17]   + https://www.locanto.com.pe/arequipa/ID_7088009421/Ayuda-economica-univ
[15:15:53]   + https://www.locanto.com.pe/arequipa/ID_7588878454/Ayuda-economica-a-un
[15:16:36]   + https://www.locanto.com.pe/arequipa/ID_7777593186/Ayuda-economica-a-se
[15:16:59]   + https://www.locanto.com.pe/arequipa/ID_7821018795/Ayuda-Economica-a-Sr
[15:17:33]   + https://www.locanto.com.pe/arequipa/ID_8628218065/Brindo-Ayuda-Economi
[15:17:55]   + https://www.locanto.com.pe/arequipa/ID_7778207426/ayuda-economica-a-mu
[15:18:43]   + https://www.locanto.com.pe/arequipa/ID_8405841171/Se-ofrece-ayuda-econ
[15:19:31]   + https://www.locanto.com.pe/arequipa/ID_7880745096/Doy-ayuda-economica-
[15:19:54]   + https://www.locanto.com.pe/arequipa/ID_8021387612/BRINDO-AYUDA-ECONOMI
[15:20:46]   + https://www.locanto.com.pe/arequipa/ID_8150885332/Ayuda-Economica-solo
[15:21:36]   + https://www.locanto.com.pe/arequipa/ID_7881039796/Ayuda-economica-a-ch
[15:22:25]   + https://www.locanto.com.pe/arequipa/ID_8852595558/Alguna-mujer-que-nec
[15:22:55]   + https://www.locanto.com.pe/arequipa/ID_8139672393/Joven-empresario-bri
[15:23:24]   + https://www.locanto.com.pe/arequipa/ID_8619246246/Srita-sin-experienci
[15:23:41]   + https://www.locanto.com.pe/arequipa/ID_7490072290/SE-BRINDA-BUENA-AYUD
[15:24:11]   + https://www.locanto.com.pe/arequipa/ID_7490080854/SEDA-AYUDA-ECONOMICA
[15:24:51]   + https://www.locanto.com.pe/arequipa/ID_7647163516/Necesitas-Ayuda-Econ
[15:25:24]   + https://www.locanto.com.pe/arequipa/ID_7879951562/AYUDA-ECONOMICA-PARA
[15:25:25] LIST p3: https://www.locanto.com.pe/arequipa/Hombre-busca-mujer/20701/3/?query=ayuda+economica
[15:26:19]   main IDs: 45
[15:26:54]   + https://www.locanto.com.pe/arequipa/ID_7076891185/Doy-Ayuda-economica-
[15:27:41]   + https://www.locanto.com.pe/arequipa/ID_7211793167/Ayuda-Economica-a-Se
[15:28:12]   + https://www.locanto.com.pe/arequipa/ID_8424651619/Ayuda-economica-a-ca
[15:28:50]   + https://www.locanto.com.pe/arequipa/ID_7059394005/DOY-AYUDA-ECONOMICA-
[15:29:18]   + https://www.locanto.com.pe/arequipa/ID_7059394075/Ayuda-economica-para
[15:29:50]   + https://www.locanto.com.pe/arequipa/ID_7067370089/Ayuda-economica-rapi
[15:30:17]   + https://www.locanto.com.pe/arequipa/ID_6592754978/BRINDO-AYUDA-ECONOMI
[15:30:43]   + https://www.locanto.com.pe/arequipa/ID_8254430309/OFREZCO-AYUDA-ECONOM
[15:31:05]   + https://www.locanto.com.pe/arequipa/ID_7770105782/Brindo-Ayuda-Economi
[15:31:30]   + https://www.locanto.com.pe/arequipa/ID_7582654784/Se-brinda-ayuda-econ
[15:31:55]   + https://www.locanto.com.pe/arequipa/ID_7490063281/BRINDO-BUENA-AYUDA-E
[15:32:14]   + https://www.locanto.com.pe/arequipa/ID_7140639649/Ofrezco-ayuda-econom
[15:32:34]   + https://www.locanto.com.pe/arequipa/ID_8388746295/Ayuda-economica-para
[15:32:55]   + https://www.locanto.com.pe/arequipa/ID_8836912555/Ayuda-Economica-a-se
[15:33:15]   + https://www.locanto.com.pe/arequipa/ID_6890683802/AYUDA-A-TUS-PROBLEMA
[15:33:33]   + https://www.locanto.com.pe/arequipa/ID_8252309815/HOMBRE-MADURO-BRINDA
[15:33:55]   + https://www.locanto.com.pe/arequipa/ID_8015607779/Busco-senora-que-qui
[15:34:21]   + https://www.locanto.com.pe/arequipa/ID_8393721426/Se-ofrece-ayuda-econ
[15:34:42]   + https://www.locanto.com.pe/arequipa/ID_8832750749/Ayuda-economica-a-ma
[15:34:59]   + https://www.locanto.com.pe/arequipa/ID_8822189724/Ayuda-economica-a-mu
[15:35:25]   + https://www.locanto.com.pe/arequipa/ID_8613476240/Ofrezco-Ayuda-econom
[15:35:48]   + https://www.locanto.com.pe/arequipa/ID_8265252681/Ayuda-economica-a-mu
[15:36:07]   + https://www.locanto.com.pe/arequipa/ID_6775107420/Ayuda-economica-a-se
