[13:38:08] START arequipa rerun clean (main cards ONLY)
[13:38:08] p1
[13:39:11]   IDs: 48
[13:42:29]   +added
[13:43:26]   +added
[13:44:27]   +added
[13:45:14]   +added
[13:45:15] p2
[13:46:11]   IDs: 47
[13:46:59]   +added
[13:47:53]   +added
[13:48:44]   +added
[13:49:57]   +added
[13:51:00]   +added
[13:52:11]   +added
[13:52:58]   +added
[13:53:49]   +added
[13:54:38]   +added
[13:55:30]   +added
[13:56:21]   +added
[13:57:16]   +added
[13:58:11]   +added
[13:59:03]   +added
[13:59:39]   +added
[14:00:15]   +added
[14:00:54]   +added
[14:01:53]   +added
[14:02:51]   +added
[14:03:43]   +added
[14:23:00]   +added
[14:26:33]   +added
[14:55:37] p3
[14:56:48]   IDs: 45
[14:57:39]   +added
[14:58:36]   +added
[14:59:27]   +added
[15:00:17]   +added
[15:00:42]   +added
[15:01:40]   +added
[15:02:22]   +added
[15:03:02]   +added
[15:03:49]   +added
[15:04:40]   +added
[15:05:32]   +added
[15:06:25]   +added
[15:07:17]   +added
[15:08:06]   +added
[15:08:54]   +added
[15:09:46]   +added
[15:10:34]   +added
[15:11:24]   +added
[15:12:14]   +added
[15:12:49]   +added
[15:13:39]   +added
[15:14:29]   +added
[15:15:17]   +added
[15:15:55]   +added
[15:16:37]   +added
[15:16:38] p4
[15:17:37]   IDs: 47
[15:18:22]   +added
[15:18:48]   +added
[15:19:08]   +added
[15:19:56]   +added
[15:20:37]   +added
[15:21:26]   +added
[15:21:52]   +added
[15:22:44]   +added
[15:23:19]   +added
[15:23:56]   +added
[15:24:49]   +added
[15:25:19]   +added
[15:25:47]   +added
[15:26:34]   +added
[15:27:03]   +added
[15:27:34]   +added
[15:28:10]   +added
[15:28:35]   +added
[15:29:16]   +added
[15:29:43]   +added
[15:30:26]   +added
[15:30:46]   +added
[15:31:25]   +added
[15:31:46]   +added
[15:32:19]   +added
[15:32:20] DONE arequipa added=76
