[13:29:34] START cajamarca section list crawl (main cards ONLY, tuned extract, filtered)
[13:29:34] base=https://www.locanto.com.pe/cajamarca/Hombre-busca-mujer/20701
[13:29:34] LIST p1: https://www.locanto.com.pe/cajamarca/Hombre-busca-mujer/20701/1/?query=ayuda+economica
[13:30:03]   main IDs: 48
[13:30:46]   + https://www.locanto.com.pe/cajamarca/ID_8047752855/Doy-Ayuda-Economica
[13:31:10]   + https://www.locanto.com.pe/cajamarca/ID_7167808964/Brindo-ayuda-econom
[13:31:51]   + https://www.locanto.com.pe/cajamarca/ID_7301487235/Brin-ayuda-economic
[13:32:12]   + https://www.locanto.com.pe/cajamarca/ID_8627783272/DOY-AYUDA-ECONOMICA
[13:32:58]   + https://www.locanto.com.pe/cajamarca/ID_8041247666/Ayuda-economica-inm
[13:33:49]   + https://www.locanto.com.pe/cajamarca/ID_8041246870/Ayuda-Economica-Par
[13:34:38]   + https://www.locanto.com.pe/cajamarca/ID_8014311508/Doy-ayuda-economica
[13:35:29]   + https://www.locanto.com.pe/cajamarca/ID_8144580472/Busco-joven-mujer-e
[13:36:20]   + https://www.locanto.com.pe/cajamarca/ID_8144589713/El-anuncio-va-dirig
[13:37:14]   + https://www.locanto.com.pe/cajamarca/ID_8449108929/Doy-ayuda-economica
[13:38:10]   + https://www.locanto.com.pe/cajamarca/ID_7768014816/DOY-AYUDA-ECONOMICA
[13:38:57]   + https://www.locanto.com.pe/cajamarca/ID_7767985906/Busco-chica-de-casa
[13:39:51]   + https://www.locanto.com.pe/cajamarca/ID_8118174529/Doy-Ayuda-Economica
[13:40:42]   + https://www.locanto.com.pe/cajamarca/ID_6841202954/Brindo-ayuda-econom
[13:41:36]   + https://www.locanto.com.pe/cajamarca/ID_6841200882/Hola-Doy-ayuda-econ
[13:42:16]   + https://www.locanto.com.pe/cajamarca/ID_7067033920/Busco-encuentro-cas
[13:43:05]   + https://www.locanto.com.pe/cajamarca/ID_7067033881/Doy-ayuda-a-mujer-c
[13:43:54]   + https://www.locanto.com.pe/cajamarca/ID_7671805518/Hola-amiga-si-busca
[13:44:45]   + https://www.locanto.com.pe/cajamarca/ID_7850683990/Doy-ayuda-economica
[13:45:40]   + https://www.locanto.com.pe/cajamarca/ID_8572476297/AYUDA-economica-ama
[13:46:13]   + https://www.locanto.com.pe/cajamarca/ID_7975996190/Ayuda-Economica-Caj
[13:47:05]   + https://www.locanto.com.pe/cajamarca/ID_7670737882/HOLA-a-mujeres-en-g
[13:47:54]   + https://www.locanto.com.pe/cajamarca/ID_8771030745/Se-brinda-AE-Ayuda-
[13:48:45]   + https://www.locanto.com.pe/cajamarca/ID_7670784661/Busco-chica-para-en
[13:49:58]   + https://www.locanto.com.pe/cajamarca/ID_7541264559/Doy-ayuda-economica
[13:51:27]   + https://www.locanto.com.pe/cajamarca/ID_8756321814/Doy-ayuda-economica
[13:52:34]   + https://www.locanto.com.pe/cajamarca/ID_8095730546/DOY-AYUDA-ECONOMICA
[13:53:06]   + https://www.locanto.com.pe/cajamarca/ID_6763062228/DOY-AYUDA-ECONOMICA
[13:53:58]   + https://www.locanto.com.pe/cajamarca/ID_6796644232/Doy-ayuda-economica
[13:54:55]   + https://www.locanto.com.pe/cajamarca/ID_7067033522/ENTREGO-AYUDA-ECONO
[13:55:44]   + https://www.locanto.com.pe/cajamarca/ID_7734541883/DOY-AYUDA-ECONOMICA
[13:56:24]   + https://www.locanto.com.pe/cajamarca/ID_8093002820/Doy-ayuda-economica
[13:57:17]   + https://www.locanto.com.pe/cajamarca/ID_7734687149/HOLA-SENORITAS-LES-
[13:58:08]   + https://www.locanto.com.pe/cajamarca/ID_8674004064/Doy-ayuda-economica
[13:58:54]   + https://www.locanto.com.pe/cajamarca/ID_7734820305/Doy-ayuda-economica
[13:59:46]   + https://www.locanto.com.pe/cajamarca/ID_7943753897/Doy-ayuda-economica
[14:00:25]   + https://www.locanto.com.pe/cajamarca/ID_7523637302/BRINDO-AYUDA-ECONOM
[14:01:13]   + https://www.locanto.com.pe/cajamarca/ID_7523635855/Doy-ayuda-economica
[14:02:03]   + https://www.locanto.com.pe/cajamarca/ID_7523630782/DOY-AYUDA-ECONOMICA
[14:02:54]   + https://www.locanto.com.pe/cajamarca/ID_6695689388/DOY-AYUDA-ECONOMICA
[14:03:26]   + https://www.locanto.com.pe/cajamarca/ID_6767287432/ENTREGO-AYUDA-ECONO
[14:19:13]   + https://www.locanto.com.pe/cajamarca/ID_6759597019/ENTREGO-AYUDA-ECONO
[14:23:10]   + https://www.locanto.com.pe/cajamarca/ID_7492130363/Ayuda-economica-a-s
[14:25:27]   + https://www.locanto.com.pe/cajamarca/ID_7795344822/Doy-ayuda-economica
[14:42:07]   + https://www.locanto.com.pe/cajamarca/ID_7802620306/Si-eres-mujer-soy-D
[14:56:04]   + https://www.locanto.com.pe/cajamarca/ID_8041254895/Ayuda-economica-sol
[14:56:05] LIST p2: https://www.locanto.com.pe/cajamarca/Hombre-busca-mujer/20701/2/?query=ayuda+economica
[14:57:02]   main IDs: 39
[14:57:55]   + https://www.locanto.com.pe/cajamarca/ID_7899727781/Ayuda-economica-par
[14:58:24]   + https://www.locanto.com.pe/cajamarca/ID_8278857744/Ayuda-economica-par
[14:59:18]   + https://www.locanto.com.pe/cajamarca/ID_7910820701/Doy-ayuda-economica
[15:00:16]   + https://www.locanto.com.pe/cajamarca/ID_7810644567/DOY-AYUDA-ECONOMICA
[15:00:41]   + https://www.locanto.com.pe/cajamarca/ID_8032520789/Doy-ayuda-economica
[15:01:54]   + https://www.locanto.com.pe/cajamarca/ID_8419214553/AYUDA-ECONOMICA-PAR
[15:02:22]   + https://www.locanto.com.pe/cajamarca/ID_8419231730/AYUDA-ECONOMICA-PAR
[15:03:12]   + https://www.locanto.com.pe/cajamarca/ID_8419261379/AYUDA-ECONOMICA-PAR
[15:04:15]   + https://www.locanto.com.pe/cajamarca/ID_8419298919/AYUDA-ECONOMICA-PAR
[15:05:11]   + https://www.locanto.com.pe/cajamarca/ID_8420838371/TRABAJO-Y-AYUDA-ECO
[15:06:01]   + https://www.locanto.com.pe/cajamarca/ID_6767287576/DOY-AYUDA-ECONOMICA
