[13:29:32] START piura section list crawl (main cards ONLY, tuned extract, filtered)
[13:29:32] base=https://www.locanto.com.pe/piura/Hombre-busca-mujer/20701
[13:29:32] LIST p1: https://www.locanto.com.pe/piura/Hombre-busca-mujer/20701/1/?query=ayuda+economica
[13:30:05]   main IDs: 48
[13:32:19]   + https://www.locanto.com.pe/piura/ID_7309775079/Ayuda-economica-chicas-
[13:33:09]   + https://www.locanto.com.pe/piura/ID_7748761550/Doy-ayuda-economica-a-m
[13:33:42]   + https://www.locanto.com.pe/piura/ID_8774640132/Ofrezco-ayuda-economica
[13:34:26]   + https://www.locanto.com.pe/piura/ID_5993220579/Se-da-ayuda-economica-p
[13:34:51]   + https://www.locanto.com.pe/piura/ID_7747315820/Ayuda-economica-Piura.h
[13:35:17]   + https://www.locanto.com.pe/piura/ID_8349529801/ayuda-economica-para-mu
[13:35:57]   + https://www.locanto.com.pe/piura/ID_8345387113/Ayuda-economica-Piura-2
[13:36:47]   + https://www.locanto.com.pe/piura/ID_8745626508/Brindo-Ayuda-Economica-
[13:37:13]   + https://www.locanto.com.pe/piura/ID_7970594955/Ayuda-economica.html
[13:38:20]   + https://www.locanto.com.pe/piura/ID_7540906865/Ayuda-Economica-discret
[13:39:10]   + https://www.locanto.com.pe/piura/ID_8211885435/Doy-ayuda-economica-de-
[13:39:50]   + https://www.locanto.com.pe/piura/ID_7736004513/Ayuda-economica.html
[13:40:42]   + https://www.locanto.com.pe/piura/ID_8208047535/AYUDA-ECONOMICA-PIURA.h
[13:41:32]   + https://www.locanto.com.pe/piura/ID_8208904132/AYUDA-ECONOMICA-PIURA-Y
[13:42:20]   + https://www.locanto.com.pe/piura/ID_7959384896/Ayuda-economica-a-chica
[13:43:08]   + https://www.locanto.com.pe/piura/ID_7734094471/Ayuda-economica-a-chica
[13:43:35]   + https://www.locanto.com.pe/piura/ID_8990785484/Ayuda-Economica-Piura-2
[13:44:16]   + https://www.locanto.com.pe/piura/ID_8990776498/Brindo-Ayuda-Economica-
[13:45:06]   + https://www.locanto.com.pe/piura/ID_8092585858/Busco-mujeres-discretas
[13:45:59]   + https://www.locanto.com.pe/piura/ID_8942236626/Doy-ayuda-economica-a-c
