[13:29:27] START trujillo section list crawl (main cards ONLY, tuned extract, filtered)
[13:29:27] base=https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701
[13:29:27] LIST p1: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/1/?query=ayuda+economica
[13:30:24]   main IDs: 46
[13:32:04]   + https://www.locanto.com.pe/trujillo/ID_8227219301/AYUDA-APOYO-ECONOMIC
[13:32:25]   + https://www.locanto.com.pe/trujillo/ID_7638712943/COMINICARSE-SOLO-MUJ
[13:32:45]   + https://www.locanto.com.pe/trujillo/ID_7729674694/Ayuda-economica-Para
[13:33:35]   + https://www.locanto.com.pe/trujillo/ID_8199719249/Brindo-ayuda-o-apoyo
[13:33:52]   + https://www.locanto.com.pe/trujillo/ID_8085769747/Hombre-solvente-da-a
[13:34:07]   + https://www.locanto.com.pe/trujillo/ID_8089143995/Doy-ayuda-economica-
[13:34:33]   + https://www.locanto.com.pe/trujillo/ID_7830685360/Doy-ayuda-economica-
[13:35:02]   + https://www.locanto.com.pe/trujillo/ID_7826564194/Ayuda-Economica-a-mu
[13:35:44]   + https://www.locanto.com.pe/trujillo/ID_8721112750/Ayuda-Economica-en-T
[13:36:38]   + https://www.locanto.com.pe/trujillo/ID_8507927242/Busco-amiga-para-pas
[13:37:30]   + https://www.locanto.com.pe/trujillo/ID_7545047225/Ayuda-economica-a-ma
[13:38:22]   + https://www.locanto.com.pe/trujillo/ID_8571289382/Hombre-maduro-busca-
[13:39:11]   + https://www.locanto.com.pe/trujillo/ID_8942121221/Doy-ayuda-economica-
[13:39:51]   + https://www.locanto.com.pe/trujillo/ID_8942104037/Brindo-ayuda-economi
[13:40:42]   + https://www.locanto.com.pe/trujillo/ID_8062503448/AYUDA-ECONOMICA-SENO
[13:41:43]   + https://www.locanto.com.pe/trujillo/ID_7506012277/Ayuda-economica-en-T
[13:42:34]   + https://www.locanto.com.pe/trujillo/ID_8300662889/Ayuda-economica-a-mu
[13:43:35]   + https://www.locanto.com.pe/trujillo/ID_8466770288/Brindo-ayuda-economi
[13:44:32]   + https://www.locanto.com.pe/trujillo/ID_7934935499/BRINDO-AYUDA-ECONOMI
[13:45:23]   + https://www.locanto.com.pe/trujillo/ID_8292624829/Brindo-Ayuda-Economi
[13:46:32]   + https://www.locanto.com.pe/trujillo/ID_7484958842/Ayuda-Economica-Para
[13:47:23]   + https://www.locanto.com.pe/trujillo/ID_7480382822/Hombre-Maduro-ofrece
[13:48:04]   + https://www.locanto.com.pe/trujillo/ID_7913447021/Se-brinda-ayuda-econ
[13:48:58]   + https://www.locanto.com.pe/trujillo/ID_7526752478/Ayuda-economica-a-mu
[13:50:20]   + https://www.locanto.com.pe/trujillo/ID_7624237114/Ayuda-economica-a-mu
[13:51:51]   + https://www.locanto.com.pe/trujillo/ID_6565712123/Ayuda-economica-para
[13:52:49]   + https://www.locanto.com.pe/trujillo/ID_6989396515/Brindo-ayuda-economi
[13:53:13]   + https://www.locanto.com.pe/trujillo/ID_6556593011/Ayuda-economica-para
[13:53:53]   + https://www.locanto.com.pe/trujillo/ID_6507616147/Ofresco-ayuda-econom
[13:54:41]   + https://www.locanto.com.pe/trujillo/ID_7797337836/Se-brinda-ayuda-econ
[13:55:32]   + https://www.locanto.com.pe/trujillo/ID_7913991036/Empresario-brinda-ay
[13:56:19]   + https://www.locanto.com.pe/trujillo/ID_6985972373/Brindo-ayuda-economi
[13:57:11]   + https://www.locanto.com.pe/trujillo/ID_5511477162/Empresario-Minero-br
[13:57:52]   + https://www.locanto.com.pe/trujillo/ID_8042025239/No-importa-la-edad-d
[13:58:50]   + https://www.locanto.com.pe/trujillo/ID_8896025377/Doy-ayuda-economica-
[13:59:38]   + https://www.locanto.com.pe/trujillo/ID_8668108881/Se-brinda-ayuda-econ
[14:00:34]   + https://www.locanto.com.pe/trujillo/ID_8161527983/BRINDO-AYUDA-ECONOMI
[14:01:15]   + https://www.locanto.com.pe/trujillo/ID_7787984083/Busca-damas-mayores-
[14:02:03]   + https://www.locanto.com.pe/trujillo/ID_7477124753/Ayuda-economica-a-ch
[14:02:57]   + https://www.locanto.com.pe/trujillo/ID_7899581994/Ayuda-economica-a-mu
[14:02:58] LIST p2: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/2/?query=ayuda+economica
[14:19:15]   main IDs: 47
[14:21:33]   + https://www.locanto.com.pe/trujillo/ID_7598185042/Doy-ayuda-economica-
[14:23:20]   + https://www.locanto.com.pe/trujillo/ID_7698592474/Soy-hombre-de-25-ano
[14:25:33]   + https://www.locanto.com.pe/trujillo/ID_7624118134/Brindo-ayuda-economi
[14:42:06]   + https://www.locanto.com.pe/trujillo/ID_8147904370/Ayuda-economica-para
[14:56:04]   + https://www.locanto.com.pe/trujillo/ID_8865285936/Brindo-ayuda-economi
[14:57:08]   + https://www.locanto.com.pe/trujillo/ID_8144193868/AYUDA-ECONOMICA-TOTA
[14:58:15]   + https://www.locanto.com.pe/trujillo/ID_8144193869/AYUDA-ECONOMICA-TOTA
[14:58:56]   + https://www.locanto.com.pe/trujillo/ID_8861540799/Brindo-ayuda-economi
[14:59:39]   + https://www.locanto.com.pe/trujillo/ID_8436960449/Doy-ayuda-economica-
[15:00:33]   + https://www.locanto.com.pe/trujillo/ID_8411032298/Busco-mama-soltera-p
[15:01:20]   + https://www.locanto.com.pe/trujillo/ID_8628311753/Entrego-ayuda-a-muje
[15:02:14]   + https://www.locanto.com.pe/trujillo/ID_5228349149/Ayuda-economica-para
[15:03:02]   + https://www.locanto.com.pe/trujillo/ID_6567437408/Ayuda-economica-para
[15:03:51]   + https://www.locanto.com.pe/trujillo/ID_7239657548/Ayuda-economica-para
[15:04:28]   + https://www.locanto.com.pe/trujillo/ID_7066401301/Ayuda-economica-a-Sr
[15:05:22]   + https://www.locanto.com.pe/trujillo/ID_7701652669/AYUDA-ECONOMICA-A-SE
[15:05:48]   + https://www.locanto.com.pe/trujillo/ID_7880156918/Maduro-muy-discreto-
[15:06:36]   + https://www.locanto.com.pe/trujillo/ID_8009882012/busco-chica-de-18-a-
[15:07:26]   + https://www.locanto.com.pe/trujillo/ID_7906311200/Apoyo-Ayuda-economic
[15:08:20]   + https://www.locanto.com.pe/trujillo/ID_7872772958/Ayuda-economica-Truj
[15:09:10]   + https://www.locanto.com.pe/trujillo/ID_8613415276/Busco-chica-para-ayu
[15:10:06]   + https://www.locanto.com.pe/trujillo/ID_8610519103/Ayuda-economica-para
[15:10:57]   + https://www.locanto.com.pe/trujillo/ID_8242296285/Doy-ayuda-economica-
[15:11:47]   + https://www.locanto.com.pe/trujillo/ID_8595697975/Busco-pasarla-bien-e
[15:12:38]   + https://www.locanto.com.pe/trujillo/ID_8000839583/Busco-senoras-doy-ay
[15:13:05]   + https://www.locanto.com.pe/trujillo/ID_8379135464/Doy-ayuda-economica-
[15:13:30]   + https://www.locanto.com.pe/trujillo/ID_7757852246/Se-brinda-ayuda-econ
[15:14:01]   + https://www.locanto.com.pe/trujillo/ID_8383231035/Busco-amiga-en-Truji
[15:14:51]   + https://www.locanto.com.pe/trujillo/ID_8369805735/Brindo-ayuda-economi
[15:15:17]   + https://www.locanto.com.pe/trujillo/ID_8565612743/Apoyo-Ayuda-economic
[15:15:59]   + https://www.locanto.com.pe/trujillo/ID_8366014406/AYUDA-ECONOMICA-APOY
[15:16:37]   + https://www.locanto.com.pe/trujillo/ID_7046798815/Busco-mujer-para-ayu
[15:16:59]   + https://www.locanto.com.pe/trujillo/ID_8786603264/Apoyo-Ayuda-economic
[15:17:33]   + https://www.locanto.com.pe/trujillo/ID_7200149414/BUECO-MUJER-PARA-ENC
[15:18:08]   + https://www.locanto.com.pe/trujillo/ID_7562083967/Doy-ayuda-economica-
[15:18:59]   + https://www.locanto.com.pe/trujillo/ID_6410230914/Ayuda-Economica-Empr
[15:19:26]   + https://www.locanto.com.pe/trujillo/ID_7167836357/Brindo-ayuda-economi
[15:20:15]   + https://www.locanto.com.pe/trujillo/ID_7994596632/Entrego-ayuda-econom
[15:20:45]   + https://www.locanto.com.pe/trujillo/ID_8236687538/AYUDA-ECONOMICA-MUJE
[15:21:17]   + https://www.locanto.com.pe/trujillo/ID_7088690261/DOY-AYUDA-ECONOMICA-
[15:21:50]   + https://www.locanto.com.pe/trujillo/ID_7088682147/BRINDO-AYUDA-ECONOMI
[15:22:23]   + https://www.locanto.com.pe/trujillo/ID_6891561993/Doy-ayuda-economica-
[15:22:44]   + https://www.locanto.com.pe/trujillo/ID_6891560470/DOY-AYUDA-ECONOMICA-
[15:23:14]   + https://www.locanto.com.pe/trujillo/ID_6956408011/BRINDO-AYUDA-ECONOMI
[15:23:31]   + https://www.locanto.com.pe/trujillo/ID_6581758251/Ayudo-a-mujeres-que-
[15:23:32] LIST p3: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/3/?query=ayuda+economica
[15:24:06]   main IDs: 45
[15:24:49]   + https://www.locanto.com.pe/trujillo/ID_6956399851/Busco-senorita-de-ca
[15:25:27]   + https://www.locanto.com.pe/trujillo/ID_6535421861/Estoy-entregando-ayu
[15:25:59]   + https://www.locanto.com.pe/trujillo/ID_6783681040/Doy-ayuda-economica-
[15:26:41]   + https://www.locanto.com.pe/trujillo/ID_7326930196/brindo-ayuda-economi
[15:27:08]   + https://www.locanto.com.pe/trujillo/ID_7199916505/BRINDO-AYUDA-ECONOMI
[15:27:39]   + https://www.locanto.com.pe/trujillo/ID_9028861950/Doy-ayuda-economica-
[15:28:03]   + https://www.locanto.com.pe/trujillo/ID_7557486354/Doy-ayuda-economica-
[15:28:23]   + https://www.locanto.com.pe/trujillo/ID_7070205657/Entrego-ayuda-econom
[15:28:51]   + https://www.locanto.com.pe/trujillo/ID_7199916421/DOY-AYUDA-ECONOMICA-
[15:29:08]   + https://www.locanto.com.pe/trujillo/ID_7752934951/Brindo-ayuda-economi
[15:29:30]   + https://www.locanto.com.pe/trujillo/ID_7548156979/DOY-AYUDA-A-MUJER-SO
[15:29:50]   + https://www.locanto.com.pe/trujillo/ID_7654759423/Ayuda-economica-a-mu
[15:30:34]   + https://www.locanto.com.pe/trujillo/ID_8768259882/Ofrezco-ayuda-econom
[15:31:06]   + https://www.locanto.com.pe/trujillo/ID_7329395830/Doy-ayuda-economica-
[15:31:36]   + https://www.locanto.com.pe/trujillo/ID_7554809490/Ayuda-economica-a-se
[15:31:37] DONE trujillo: added=100 last_p=3
