[13:28:25] START trujillo (main cards ONLY)
[13:28:25] p1
[13:28:50]   IDs: 46
[13:29:43]   +added
[13:30:01]   +added
[13:30:45]   +added
[13:31:20]   +added
[13:31:42]   +added
[13:32:01]   +added
[13:32:48]   +added
[13:33:29]   +added
[13:33:49]   +added
[13:34:28]   +added
[13:34:48]   +added
[13:35:38]   +added
[13:36:38]   +added
[13:37:36]   +added
[13:38:28]   +added
[13:38:57]   +added
[13:39:51]   +added
[13:40:41]   +added
[13:41:40]   +added
[13:42:15]   +added
[13:42:50]   +added
[13:43:45]   +added
[13:44:34]   +added
[13:45:36]   +added
[13:46:25]   +added
[13:47:18]   +added
[13:48:11]   +added
[13:48:12] p2
[13:49:19]   IDs: 47
[13:50:56]   +added
[13:52:13]   +added
[13:53:01]   +added
[13:53:47]   +added
[13:54:37]   +added
[13:55:43]   +added
[13:56:34]   +added
[13:57:28]   +added
[13:58:20]   +added
[13:59:10]   +added
[13:59:55]   +added
[14:00:51]   +added
[14:01:47]   +added
[14:02:34]   +added
[14:03:10]   +added
[14:19:13]   +added
[14:21:36]   +added
[14:23:19]   +added
[14:24:54]   +added
[14:26:31]   +added
[14:55:15]   +added
[14:56:31]   +added
[14:57:08]   +added
[14:57:30]   +added
[14:58:30]   +added
[14:59:22]   +added
[15:00:15]   +added
[15:01:09]   +added
[15:01:50]   +added
[15:02:43]   +added
[15:02:44] p3
[15:03:43]   IDs: 45
[15:04:33]   +added
[15:05:25]   +added
[15:06:12]   +added
[15:07:00]   +added
[15:07:50]   +added
[15:08:42]   +added
[15:09:02]   +added
[15:09:51]   +added
[15:10:13]   +added
[15:10:57]   +added
[15:11:45]   +added
[15:12:24]   +added
[15:13:22]   +added
[15:14:10]   +added
[15:14:56]   +added
[15:15:48]   +added
[15:16:38]   +added
[15:17:28]   +added
[15:18:02]   +added
[15:18:21]   +added
[15:19:06]   +added
[15:19:29]   +added
[15:19:56]   +added
[15:20:17]   +added
[15:21:02]   +added
[15:21:40]   +added
[15:22:04]   +added
[15:22:34]   +added
[15:23:20]   +added
[15:23:21] DONE trujillo added=86
