[13:38:06] START trujillo rerun clean (main cards ONLY)
[13:38:06] p1
[13:39:10]   IDs: 46
[13:42:23]   +added
[13:43:16]   +added
[13:44:05]   +added
[13:44:51]   +added
[13:45:22]   +added
[13:45:23] p2
[13:46:27]   IDs: 47
[13:47:15]   +added
[13:48:02]   +added
[13:49:01]   +added
[13:50:20]   +added
[13:51:48]   +added
[13:53:00]   +added
[13:54:00]   +added
[13:54:58]   +added
[13:55:49]   +added
[13:56:40]   +added
[13:57:13]   +added
[13:58:02]   +added
[13:58:58]   +added
[13:59:49]   +added
[14:00:43]   +added
[14:01:33]   +added
[14:02:19]   +added
[14:03:14]   +added
[14:19:17]   +added
[14:23:32]   +added
[14:25:36]   +added
[14:42:06]   +added
[14:56:17]   +added
[14:56:18] p3
[14:57:15]   IDs: 45
[14:57:59]   +added
[14:58:45]   +added
[14:59:41]   +added
[15:00:21]   +added
[15:01:18]   +added
[15:01:50]   +added
[15:02:41]   +added
[15:03:13]   +added
[15:04:06]   +added
[15:04:49]   +added
[15:05:40]   +added
[15:06:25]   +added
[15:07:13]   +added
[15:08:00]   +added
[15:08:48]   +added
[15:09:41]   +added
[15:10:28]   +added
[15:11:16]   +added
[15:11:48]   +added
[15:12:39]   +added
[15:13:29]   +added
[15:14:14]   +added
[15:14:42]   +added
[15:15:31]   +added
[15:15:32] p4
[15:16:31]   IDs: 48
[15:17:20]   +added
[15:17:46]   +added
[15:18:33]   +added
[15:19:21]   +added
[15:19:45]   +added
[15:20:13]   +added
[15:20:35]   +added
[15:21:04]   +added
[15:21:54]   +added
[15:22:48]   +added
[15:23:22]   +added
[15:23:44]   +added
[15:24:30]   +added
[15:24:49]   +added
[15:25:17]   +added
[15:25:37]   +added
[15:25:55]   +added
[15:26:17]   +added
[15:26:41]   +added
[15:27:08]   +added
[15:27:53]   +added
[15:28:18]   +added
[15:28:41]   +added
[15:29:19]   +added
[15:29:41]   +added
[15:29:42] DONE trujillo added=77
