[13:30:17] START trujillo v3 section list crawl (main cards ONLY, tuned)
[13:30:17] base=https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701
[13:30:17] LIST p1: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/1/?query=ayuda+economica
[13:30:46]   main IDs: 46
[13:32:05]   + https://www.locanto.com.pe/trujillo/ID_7638712943/COMINICARSE-SOLO-MUJ
[13:32:46]   + https://www.locanto.com.pe/trujillo/ID_7729674694/Ayuda-economica-Para
[13:33:18]   + https://www.locanto.com.pe/trujillo/ID_8199719249/Brindo-ayuda-o-apoyo
[13:33:39]   + https://www.locanto.com.pe/trujillo/ID_8085769747/Hombre-solvente-da-a
[13:34:10]   + https://www.locanto.com.pe/trujillo/ID_8089143995/Doy-ayuda-economica-
[13:35:01]   + https://www.locanto.com.pe/trujillo/ID_7830685360/Doy-ayuda-economica-
[13:35:53]   + https://www.locanto.com.pe/trujillo/ID_7826564194/Ayuda-Economica-a-mu
[13:36:46]   + https://www.locanto.com.pe/trujillo/ID_8721112750/Ayuda-Economica-en-T
[13:37:37]   + https://www.locanto.com.pe/trujillo/ID_8507927242/Busco-amiga-para-pas
[13:38:31]   + https://www.locanto.com.pe/trujillo/ID_7545047225/Ayuda-economica-a-ma
[13:38:58]   + https://www.locanto.com.pe/trujillo/ID_8571289382/Hombre-maduro-busca-
[13:39:53]   + https://www.locanto.com.pe/trujillo/ID_8942121221/Doy-ayuda-economica-
[13:40:42]   + https://www.locanto.com.pe/trujillo/ID_8942104037/Brindo-ayuda-economi
[13:41:41]   + https://www.locanto.com.pe/trujillo/ID_8062503448/AYUDA-ECONOMICA-SENO
[13:42:33]   + https://www.locanto.com.pe/trujillo/ID_7506012277/Ayuda-economica-en-T
[13:43:35]   + https://www.locanto.com.pe/trujillo/ID_8300662889/Ayuda-economica-a-mu
[13:44:17]   + https://www.locanto.com.pe/trujillo/ID_8466770288/Brindo-ayuda-economi
[13:44:55]   + https://www.locanto.com.pe/trujillo/ID_7934935499/BRINDO-AYUDA-ECONOMI
[13:44:55] LIST p2: https://www.locanto.com.pe/trujillo/Hombre-busca-mujer/20701/2/?query=ayuda+economica
[13:45:40]   main IDs: 47
[13:46:30]   + https://www.locanto.com.pe/trujillo/ID_7598185042/Doy-ayuda-economica-
[13:47:21]   + https://www.locanto.com.pe/trujillo/ID_7698592474/Soy-hombre-de-25-ano
[13:48:01]   + https://www.locanto.com.pe/trujillo/ID_7624118134/Brindo-ayuda-economi
[13:48:55]   + https://www.locanto.com.pe/trujillo/ID_8147904370/Ayuda-economica-para
[13:50:14]   + https://www.locanto.com.pe/trujillo/ID_8865285936/Brindo-ayuda-economi
[13:52:56]   + https://www.locanto.com.pe/trujillo/ID_8144193869/AYUDA-ECONOMICA-TOTA
[13:53:45]   + https://www.locanto.com.pe/trujillo/ID_8861540799/Brindo-ayuda-economi
[13:54:30]   + https://www.locanto.com.pe/trujillo/ID_8436960449/Doy-ayuda-economica-
[13:55:20]   + https://www.locanto.com.pe/trujillo/ID_8411032298/Busco-mama-soltera-p
[13:56:14]   + https://www.locanto.com.pe/trujillo/ID_8628311753/Entrego-ayuda-a-muje
[13:56:52]   + https://www.locanto.com.pe/trujillo/ID_5228349149/Ayuda-economica-para
